text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"WEEE BARU KALI INI GUA NONTON STREAM WINDAH SAMPE NENDANG"" BANTALLLLLL WJDJJEIDJJDJEHHWJX",weee baru kali ini gua nonton stream windah sampe nendang bantallllll wjdjjeidjjdjehhwjx,weee baru kali ini gua nonton stream windah sampe nendang bantallllll wjdjjeidjjdjehhwjx,weee kali gua nonton stream windah sampe nendang bantallllll wjdjjeidjjdjehhwjx,weee kali gua nonton stream windah sampe nendang bantallllll wjdjjeidjjdjehhwjx,weee the next time I watched Windah's stream until I kicked the pillowllllll wjdjjeidjjdjehhwjx
Terima kasih bang windah karena sudah main game ini.,terima kasih bang windah karena sudah main game ini,terima kasih bang windah karena sudah main game ini,terima kasih bang windah main game,terima kasih bang windah main game,"Thank you bro, Windah for playing the game"
yeyy jadi juga makasih banggg,yeyy jadi juga makasih banggg,yeyy jadi juga makasih banggg,yeyy makasih banggg,yeyy makasih banggg,"yeah, thanks bro"
bang kamu mirip gi-hun player squid game 456,bang kamu mirip gihun player squid game,bang kamu mirip gihun player squid game,bang gihun player squid game,bang gihun player squid game,"bro, gihun squid game player"
"iya bener, windah kan cuma mau nyenengin penonton nya aja",iya bener windah kan cuma mau nyenengin penonton nya aja,iya bener windah kan cuma mau nyenengin penonton nya saja,iya bener windah nyenengin penonton nya,iya bener windah nyenengin tonton nya,"Yes, it's really fun to watch"
Demii aappaa sii bggg wkwkwkwk,demii aappaa sii bggg wkwkwkwk,demii aappaa sii bggg tertawa,demii aappaa sii bggg tertawa,demi aappaa sii bggg tertawa,for what's sake sii bggg laughed
Anomali muncul lah kalian,anomali muncul lah kalian,anomali muncul lah kalian,anomali muncul,anomali muncul,anomalies appear
Gile gamenya keren bang napa banyak yang ngehujat ya 😮,gile gamenya keren bang napa banyak yang ngehujat ya,gile gamenya keren bang napa banyak yang ngehujat ya,gile gamenya keren bang napa ngehujat ya,gile gamenya keren bang napa ngehujat ya,"It's crazy how cool the game is, bro, why blaspheme it?"
"Makasih bang windah udah main game LADS, aku seneng banget + respect sama kamu bang ❤",makasih bang windah udah main game lads aku seneng banget respect sama kamu bang,makasih bang windah sudah main game lads aku seneng banget respect sama kamu bang,makasih bang windah main game lads seneng banget respect bang,makasih bang windah main game lads neng banget respect bang,"Thank you, bro, for playing the game, lads, you really respect it, bro"
Uciha Winda Basudara salut,uciha winda basudara salut,uciha winda basudara salut,uciha winda basudara salut,uciha winda basudara salut,Uciha Winda Basudara salute you
"Dari dulu pengen mainin ini game,tapi ruangan gak cukup untung ada Bang Windah yang mainin ini game😊",dari dulu pengen mainin ini gametapi ruangan gak cukup untung ada bang windah yang mainin ini game,dari dulu pengen mainin ini gametapi ruangan gak cukup untung ada bang windah yang mainin ini game,pengen mainin gametapi ruangan gak untung bang windah mainin game,ken mainin gametapi ruang gak untung bang windah mainin game,"I want to play games but I don't have enough space, bro, Windah plays games"
Bang makasih banget lo dah mainin game ini 😘,bang makasih banget lo dah mainin game ini,bang makasih banget lo dah mainin game ini,bang makasih banget lo dah mainin game,bang makasih banget lo dah mainin game,"Bro, thank you very much for playing the game"
Lanjutin bangg,lanjutin bangg,lanjutin bangg,lanjutin bangg,lanjutin bangg,keep going bro
yang nge hujat mana kabarnya,yang nge hujat mana kabarnya,yang nge hujat mana kabarnya,nge hujat kabarnya,nge hujat kabar,blaspheme the news
Next game infinity nikki bang!❤,next game infinity nikki bang,next game infinity nikki bang,next game infinity nikki bang,next game infinity nikki bang,next game infinity nikki bro
Sama aja kek game Nikke genshin hsr hi3,sama aja kek game nikke genshin hsr hi,sama saja seperti game nikke genshin hsr hi,game nikke genshin hsr hi,game nikke genshin hsr hi,game nikke genshin hsr hi
"Gw cuma penikmat aja ya,tim netral.tpi game ini kebanyakan ceritanya aja sii menurut gw. Visualnya keren HD parah,kalo war pun efek nya keren. Cuma ya itu yg diawal,kebanyakan cerita",gw cuma penikmat aja yatim netraltpi game ini kebanyakan ceritanya aja sii menurut gw visualnya keren hd parahkalo war pun efek nya keren cuma ya itu yg diawalkebanyakan cerita,gw cuma penikmat saja yatim netraltpi game ini kebanyakan ceritanya saja sii menurut gw visualnya keren hd parahkalo war pun efek nya keren cuma ya itu yang diawalkebanyakan cerita,gw penikmat yatim netraltpi game kebanyakan ceritanya sii gw visualnya keren hd parahkalo war efek nya keren ya diawalkebanyakan cerita,gw nikmat yatim netraltpi game banyak cerita sii gw visual keren hd parahkalo war efek nya keren ya diawalkebanyakan cerita,"I enjoy being a neutral orphan but the game has a lot of stories, I have cool HD visuals, it's really cool, the war effects are cool, in the beginning there are lots of stories"
🙏🏻,,,,,
"Mantep sih bg windah, dia mengseimbangkan viewers cewek dan cowok. walaupun bg windahslebih sering memainkan game kesukaan cowok, tapi dia tetep memainkan game untuk cewek buat viewers yang cewek. streamer tergokil seindonesia",mantep sih bg windah dia mengseimbangkan viewers cewek dan cowok walaupun bg windahslebih sering memainkan game kesukaan cowok tapi dia tetep memainkan game untuk cewek buat viewers yang cewek streamer tergokil seindonesia,mantep sih bang windah dia mengseimbangkan viewers cewek dan cowok walaupun bang windahslebih sering memainkan game kesukaan cowok tapi dia tetep memainkan game untuk cewek buat viewers yang cewek streamer tergokil seindonesia,mantep sih bang windah mengseimbangkan viewers cewek cowok bang windahslebih memainkan game kesukaan cowok tetep memainkan game cewek viewers cewek streamer tergokil seindonesia,mantep sih bang windah mengseimbangkan viewers cewek cowok bang windahslebih main game suka cowok tetep main game cewek viewers cewek streamer tergokil indonesia,"It's great, bro, Windah balances out the male and female viewers, bro, Windahs prefers playing games, likes guys, still plays games, girls, female viewers, the coolest streamers in Indonesia"
Nice bang win,nice bang win,nice bang win,nice bang win,nice bang win,nice bro win
Uciha winda,uciha winda,uciha winda,uciha winda,uciha winda,Uchiha Winda
rafayel pacar ku bang,rafayel pacar ku bang,rafayel pacar ku bang,rafayel pacar ku bang,rafayel pacar ku bang,Rafayel is my boyfriend
game gj,game gj,game gj,game gj,game gj,gj games
"terimakasih banyak bang udah mainin game ini, seruu bangett, btw suamiku sylus bang",terimakasih banyak bang udah mainin game ini seruu bangett btw suamiku sylus bang,terimakasih banyak bang sudah mainin game ini seruu bangett by the way suamiku sylus bang,terimakasih bang mainin game seruu bangett by the way suamiku sylus bang,terimakasih bang mainin game seruu bangett by the way suami sylus bang,"Thank you bro, playing this game is really fun, by the way, Sylus' husband, bro"
zayne anak kesayangan,zayne anak kesayangan,zayne anak kesayangan,zayne anak kesayangan,zayne anak sayang,Zayne dear boy
Iyah sayang sama sama,iyah sayang sama sama,iyah sayang sama sama,iyah sayang,iyah sayang,yes darling
Ya kan emang otome pasti yang ditonjolin cerita,ya kan emang otome pasti yang ditonjolin cerita,ya kan emang otome pasti yang ditonjolin cerita,ya emang otome ditonjolin cerita,ya emang otome ditonjolin cerita,"Yes, the story really highlights the otome"
"Otome memang bentuk umumnya visual novel ko cuma yg ini agak paket lengkap dengan mini game, rpg, dll😅",otome memang bentuk umumnya visual novel ko cuma yg ini agak paket lengkap dengan mini game rpg dll,otome memang bentuk umumnya visual novel ko cuma yang ini agak paket lengkap dengan mini game rpg dll,otome bentuk visual novel ko paket lengkap mini game rpg dll,otome bentuk visual novel ko paket lengkap mini game rpg dll,"otome visual novel form, complete package of mini rpg games etc"
Setuju,setuju,setuju,setuju,tuju,aim
kebanyakan nyocot,kebanyakan nyocot,kebanyakan nyocot,kebanyakan nyocot,banyak nyocot,lots of nibbling
touch some grass😂,touch some grass,touch some grass,touch some grass,touch some grass,touch some grass
Kalah saing sama fiksi kah 😹,kalah saing sama fiksi kah,kalah saing sama fiksi kah,kalah saing fiksi kah,kalah saing fiksi kah,lost in the fiction competition?
hadeh ga pernah dapet perhatian sm cukup kasih sayang dr orang2 yaa. kasian,hadeh ga pernah dapet perhatian sm cukup kasih sayang dr orang yaa kasian,hadeh ga pernah dapet perhatian sm cukup kasih sayang dari orang yaa kasian,hadeh ga dapet perhatian sm kasih sayang orang yaa kasian,hadeh ga dapet perhati sm kasih sayang orang yaa kasi,"I'm afraid I don't get people's attention and affection, kasi"
lu yg gaje,lu yg gaje,lu yang gaje,lu gaje,lu gaje,you're crazy
gj kenapa? 😧,gj kenapa,gj kenapa,gj,gj,gj
Muka lu yg GJ,muka lu yg gj,muka lu yang gj,muka lu gj,muka lu gj,your face is gone
Ngapain bang? Keren lu begitu? Biar apa sih? What a attention seeker pathetic,ngapain bang keren lu begitu biar apa sih what a attention seeker pathetic,ngapain bang keren lu begitu biar apa sih what a attention seeker pathetic,ngapain bang keren lu biar sih what a attention seeker pathetic,ngapain bang keren lu biar sih what a attention seeker pathetic,"What are you doing, cool bro, what a pathetic attention seeker"
Plissss sukkaa bengetttttttttt,plissss sukkaa bengetttttttttt,plissss sukkaa bengetttttttttt,plissss sukkaa bengetttttttttt,plissss sukkaa bengetttttttttt,plssss really like it
"Yang hujat emg rada""",yang hujat emg rada,yang hujat emg rada,hujat emg rada,hujat emg rada,It's a bit blasphemous
bang aku ketiduran pas story nya zayne 😔💔,bang aku ketiduran pas story nya zayne,bang aku ketiduran pas story nya zayne,bang ketiduran pas story nya zayne,bang tidur pas story nya zayne,"Bro, I fell asleep during Zayne's story"
Sylus emg tampangnya badboy bang. Tapi aslinya greenflag bgt.,sylus emg tampangnya badboy bang tapi aslinya greenflag bgt,sylus emg tampangnya badboy bang tapi aslinya greenflag banget,sylus emg tampangnya badboy bang aslinya greenflag banget,sylus emg tampang badboy bang asli greenflag banget,"Sylus really looks like a real badboy, bro, Greenflag"
AAAKKK THX BG WINDOWS SDH MEMBUNGKAM PARA STANDAR GANDA ❤ oot but kira kira bg windows pake emulator apa yh,aaakkk thx bg windows sdh membungkam para standar ganda oot but kira kira bg windows pake emulator apa yh,aaakkk thx bang windows sdh membungkam para standar ganda oot but kira kira bang windows pake emulator apa yh,aaakkk thx bang windows sdh membungkam standar ganda oot but bang windows pake emulator yh,aaakkk thx bang windows sdh bungkam standar ganda oot but bang windows pake emulator yh,aaaakkk thx bro Windows has silenced the double standard oot but bro Windows uses an emulator yeh
Part 2 dong pliss,part dong pliss,part dong pliss,part pliss,part pliss,parts pls
Caleb ceritanya di Homecoming bang,caleb ceritanya di homecoming bang,caleb ceritanya di homecoming bang,caleb ceritanya homecoming bang,caleb cerita homecoming bang,Caleb's homecoming story bro
Lengah dikit liat youtube bang windah main game ini🗿,lengah dikit liat youtube bang windah main game ini,lengah dikit liat youtube bang windah main game ini,lengah dikit liat youtube bang windah main game,lengah dikit liat youtube bang windah main game,"I was a little careless watching YouTube, Bro, Windah, playing games"
omagaa,omagaa,omagaa,omagaa,omagaa,omagaa
"aku cinta sylus bang, tapi aku lebih cinta kamu",aku cinta sylus bang tapi aku lebih cinta kamu,aku cinta sylus bang tapi aku lebih cinta kamu,cinta sylus bang cinta,cinta sylus bang cinta,love sylus bro love
makasih ya bang udah mainin iniii :(( semangat bang windah! ❤❤❤,makasih ya bang udah mainin iniii semangat bang windah,makasih ya bang sudah mainin ini semangat bang windah,makasih ya bang mainin semangat bang windah,makasih ya bang mainin semangat bang windah,"Thank you, bro, keep up the spirit, bro, Windah"
Bangg nanti main ini lagi yakk,bangg nanti main ini lagi yakk,bangg nanti main ini lagi yakk,bangg main yakk,bangg main yakk,"proud to play, okay?"
"efek komunitas lagibatuq emang ngaruh beut,lihat aja dari game ini banyak yang hujat kemaren gara gara romance ama cowok dan yang maininnya windah,padahal nih game normal tapi efek dari komunitas itu ngebuat kita jadi berpikir aneh aneh ama ni game",efek komunitas lagibatuq emang ngaruh beutlihat aja dari game ini banyak yang hujat kemaren gara gara romance ama cowok dan yang maininnya windahpadahal nih game normal tapi efek dari komunitas itu ngebuat kita jadi berpikir aneh aneh ama ni game,efek komunitas lagibatuq emang ngaruh beutlihat saja dari game ini banyak yang hujat kemaren gara gara romance ama cowok dan yang maininnya windahpadahal nih game normal tapi efek dari komunitas itu ngebuat kita jadi berpikir aneh aneh ama ni game,efek komunitas lagibatuq emang ngaruh beutlihat game hujat kemaren gara gara romance ama cowok maininnya windahpadahal nih game normal efek komunitas ngebuat berpikir aneh aneh ama ni game,efek komunitas lagibatuq emang ngaruh beutlihat game hujat kemaren gara gara romance ama cowok maininnya windahpadahal nih game normal efek komunitas ngebuat pikir aneh aneh ama ni game,"Lagibatuq's community effect really has an impact. Seeing the game that was criticized yesterday because of romance and a guy playing Windah, even though it's a normal game, the community effect makes me think strangely about this game."
Xavier cinta pertama ku❤❤❤❤,xavier cinta pertama ku,xavier cinta pertama ku,xavier cinta ku,xavier cinta ku,Xavier my love
6:26 itu cowo aku bng,itu cowo aku bng,itu cowo aku bng,cowo bng,cowo bng,boy bro
"my sylus omg-

thank you so much bang windah❤",my sylus omg thank you so much bang windah,my sylus omg thank you so much bang windah,my sylus omg thank you so much bang windah,my sylus omg thank you so much bang windah,my sylus omg thank you so much bro windah
bangg ayoo lanjut dongg,bangg ayoo lanjut dongg,bangg ayoo lanjut dongg,bangg ayoo dongg,bangg ayoo dongg,"proud, come on, bro"
AKHIRNYA BANG WINDAH MAININ GAME KESUKAAN KUUUU,akhirnya bang windah mainin game kesukaan kuuuu,akhirnya bang windah mainin game kesukaan kuuuu,bang windah mainin game kesukaan kuuuu,bang windah mainin game suka kuuuu,"Bro, Windah plays the game I like"
